['error', 'avg error', 'noise']
[24222, 2.4258387581372056, 'real']
[23878, 2.391387080620931, 'swap']
[21735, 2.1767651477215826, 'reverse']
[24955, 2.499248873309965, 'misword']
[25880, 2.5918878317476213, 'wtense']
[23392, 2.34271407110666, 'noun']
[23509, 2.354431647471207, 'verb']
[26483, 2.6522784176264396, 'crossover']
[32180, 3.2228342513770656, 'typo']
